id,suscriptor_id,es_plantilla,codigo,nombre,tipo,naturaleza,nivel,categoria_nivel,ruta,ruta_codigo,padre_id,registra_tercero,requiere_centro_costo,requiere_presupuesto,niif_categoria_id,puc_categoria_id,activo,fecha_creacion,fecha_actualizacion
,,1,121510,BONOS PUBLICOS MONEDA EXTRANJERA,activo,D,4,subcuenta,,,1215,0,0,0,,,1,,
,,1,12151001,Bonos publicos moneda extranjera,activo,D,5,auxiliar,,,121510,1,0,0,,,1,,
,,1,121515,BONOS ORDINARIOS,activo,D,4,subcuenta,,,1215,0,0,0,,,1,,
,,1,12151501,Bonos ordinarios,activo,D,5,auxiliar,,,121515,1,0,0,,,1,,
,,1,121520,BONOS CONVERTIBLES EN ACCIONES,activo,D,4,subcuenta,,,1215,0,0,0,,,1,,
,,1,12152001,Bonos convertibles en acciones,activo,D,5,auxiliar,,,121520,1,0,0,,,1,,
,,1,121595,OTROS,activo,D,4,subcuenta,,,1215,0,0,0,,,1,,
,,1,12159501,Otros,activo,D,5,auxiliar,,,121595,1,0,0,,,1,,
,,1,1220,CEDULAS,activo,D,3,cuenta,,,12,0,0,0,,,1,,
,,1,122005,CEDULAS DE CAPITALIZACION,activo,D,4,subcuenta,,,1220,0,0,0,,,1,,
,,1,12200501,Cedulas de capitalizacion,activo,D,5,auxiliar,,,122005,1,0,0,,,1,,
,,1,122010,CEDULAS HIPOTECARIAS,activo,D,4,subcuenta,,,1220,0,0,0,,,1,,
,,1,12201001,Cedulas hipotecarias,activo,D,5,auxiliar,,,122010,1,0,0,,,1,,
,,1,122015,CEDULAS DE INVERSION,activo,D,4,subcuenta,,,1220,0,0,0,,,1,,
,,1,12201501,Cedulas de inversion,activo,D,5,auxiliar,,,122015,1,0,0,,,1,,
,,1,122095,OTRAS,activo,D,4,subcuenta,,,1220,0,0,0,,,1,,
,,1,12209501,Otras,activo,D,5,auxiliar,,,122095,1,0,0,,,1,,
,,1,1225,CERTIFICADOS,activo,D,3,cuenta,,,12,0,0,0,,,1,,
,,1,122505,CERTIFICADOS DE DEPOSITO A TERMINO (CDT),activo,D,4,subcuenta,,,1225,0,0,0,,,1,,
,,1,12250501,Certificados de deposito a termino (CDT),activo,D,5,auxiliar,,,122505,1,0,0,,,1,,
,,1,122510,CERTIFICADOS DE DEPOSITO DE AHORRO,activo,D,4,subcuenta,,,1225,0,0,0,,,1,,
,,1,12251001,Certificados de deposito de ahorro,activo,D,5,auxiliar,,,122510,1,0,0,,,1,,
,,1,122515,CERTIFICADOS DE AHORRO DE VALOR CONSTANTE (CAVC),activo,D,4,subcuenta,,,1225,0,0,0,,,1,,
,,1,12251501,Certificados de ahorro de valor constante (CAVC),activo,D,5,auxiliar,,,122515,1,0,0,,,1,,
,,1,122520,CERTIFICADOS DE CAMBIO,activo,D,4,subcuenta,,,1225,0,0,0,,,1,,
,,1,12252001,Certificados de cambio,activo,D,5,auxiliar,,,122520,1,0,0,,,1,,
,,1,122525,CERTIFICADOS CAFETEROS VALORIZABLES,activo,D,4,subcuenta,,,1225,0,0,0,,,1,,
,,1,12252501,Certificados cafeteros valorizables,activo,D,5,auxiliar,,,122525,1,0,0,,,1,,
,,1,122530,CERTIFICADOS ELECTRICOS VALORIZABLES (CEV),activo,D,4,subcuenta,,,1225,0,0,0,,,1,,
,,1,12253001,Certificados electricos valorizables (CEV),activo,D,5,auxiliar,,,122530,1,0,0,,,1,,
,,1,122535,CERTIFICADOS DE REEMBOLSO TRIBUTARIO (CERT),activo,D,4,subcuenta,,,1225,0,0,0,,,1,,
,,1,12253501,Certificados de reembolso tributario (CERT),activo,D,5,auxiliar,,,122535,1,0,0,,,1,,
,,1,122540,CERTIFICADOS DE DESARROLLO TURISTICO,activo,D,4,subcuenta,,,1225,0,0,0,,,1,,
,,1,12254001,Certificados de desarrollo turistico,activo,D,5,auxiliar,,,122540,1,0,0,,,1,,
,,1,122545,CERTIFICADOS DE INVERSION FORESTAL (CIF),activo,D,4,subcuenta,,,1225,0,0,0,,,1,,
,,1,12254501,Certificados de inversion forestal (CIF),activo,D,5,auxiliar,,,122545,1,0,0,,,1,,
,,1,122595,OTROS,activo,D,4,subcuenta,,,1225,0,0,0,,,1,,
,,1,12259501,Otros,activo,D,5,auxiliar,,,122595,1,0,0,,,1,,
,,1,1230,PAPELES COMERCIALES,activo,D,3,cuenta,,,12,0,0,0,,,1,,
,,1,123005,EMPRESAS COMERCIALES,activo,D,4,subcuenta,,,1230,0,0,0,,,1,,
,,1,12300501,Empresas comerciales,activo,D,5,auxiliar,,,123005,1,0,0,,,1,,
,,1,123010,EMPRESAS INDUSTRIALES,activo,D,4,subcuenta,,,1230,0,0,0,,,1,,
,,1,12301001,Empresas industriales,activo,D,5,auxiliar,,,123010,1,0,0,,,1,,
,,1,123015,EMPRESAS DE SERVICIOS,activo,D,4,subcuenta,,,1230,0,0,0,,,1,,
,,1,12301501,Empresas de servicios,activo,D,5,auxiliar,,,123015,1,0,0,,,1,,
,,1,1235,TITULOS,activo,D,3,cuenta,,,12,0,0,0,,,1,,
,,1,123505,TITULOS DE DESARROLLO AGROPECUARIO,activo,D,4,subcuenta,,,1235,0,0,0,,,1,,
,,1,12350501,Titulos de desarrollo agropecuario,activo,D,5,auxiliar,,,123505,1,0,0,,,1,,
,,1,123510,TITULOS CANJEABLES POR CERTIFICADOS DE CAMBIO,activo,D,4,subcuenta,,,1235,0,0,0,,,1,,
,,1,12351001,Titulos canjeables por certificados de cambio,activo,D,5,auxiliar,,,123510,1,0,0,,,1,,
,,1,123515,TITULOS DE TESORERIA (TES),activo,D,4,subcuenta,,,1235,0,0,0,,,1,,
,,1,12351501,Titulos de tesoreria (TES),activo,D,5,auxiliar,,,123515,1,0,0,,,1,,
,,1,123520,TITULOS DE PARTICIPACION,activo,D,4,subcuenta,,,1235,0,0,0,,,1,,
,,1,12352001,Titulos de participacion,activo,D,5,auxiliar,,,123520,1,0,0,,,1,,
,,1,123525,TITULOS DE CREDITO DE FOMENTO,activo,D,4,subcuenta,,,1235,0,0,0,,,1,,
,,1,12352501,Titulos de credito de fomento,activo,D,5,auxiliar,,,123525,1,0,0,,,1,,
,,1,123530,TITULOS FINANCIEROS AGROINDUSTRIALES (TFA),activo,D,4,subcuenta,,,1235,0,0,0,,,1,,
,,1,12353001,Titulos financieros agroindustriales (TFA),activo,D,5,auxiliar,,,123530,1,0,0,,,1,,
,,1,123535,TITULOS DE AHORRO CAFETERO (TAC),activo,D,4,subcuenta,,,1235,0,0,0,,,1,,
,,1,12353501,Titulos de ahorro cafetero (TAC),activo,D,5,auxiliar,,,123535,1,0,0,,,1,,
,,1,123540,TITULOS DE AHORRO NACIONAL (TAN),activo,D,4,subcuenta,,,1235,0,0,0,,,1,,
,,1,12354001,Titulos de ahorro nacional (TAN),activo,D,5,auxiliar,,,123540,1,0,0,,,1,,
,,1,123545,TITULOS ENERGETICOS DE RENTABILIDAD CRECIENTE (TER),activo,D,4,subcuenta,,,1235,0,0,0,,,1,,
,,1,12354501,Titulos energeticos de rentabilidad creciente (TER),activo,D,5,auxiliar,,,123545,1,0,0,,,1,,
,,1,123550,TITULOS DE AHORRO EDUCATIVO (TAE),activo,D,4,subcuenta,,,1235,0,0,0,,,1,,
,,1,12355001,Titulos de ahorro educativo (TAE),activo,D,5,auxiliar,,,123550,1,0,0,,,1,,
,,1,123555,TITULOS FINANCIEROS INDUSTRIALES Y COMERCIALES,activo,D,4,subcuenta,,,1235,0,0,0,,,1,,
,,1,12355501,Titulos financieros industriales y comerciales,activo,D,5,auxiliar,,,123555,1,0,0,,,1,,
,,1,123560,TESOROS,activo,D,4,subcuenta,,,1235,0,0,0,,,1,,
,,1,12356001,Tesoros,activo,D,5,auxiliar,,,123560,1,0,0,,,1,,
,,1,123565,TITULOS DE DEVOLUCION DE IMPUESTOS NACIONALES (TIDIS),activo,D,4,subcuenta,,,1235,0,0,0,,,1,,
,,1,12356501,Titulos de devolucion de impuestos nacionales (TIDIS),activo,D,5,auxiliar,,,123565,1,0,0,,,1,,
,,1,123570,TITULOS INMOBILIARIOS,activo,D,4,subcuenta,,,1235,0,0,0,,,1,,
,,1,12357001,Titulos inmobiliarios,activo,D,5,auxiliar,,,123570,1,0,0,,,1,,
,,1,123595,OTROS,activo,D,4,subcuenta,,,1235,0,0,0,,,1,,
,,1,12359501,Otros,activo,D,5,auxiliar,,,123595,1,0,0,,,1,,
,,1,1240,ACEPTACIONES BANCARIAS O FINANCIERAS,activo,D,3,cuenta,,,12,0,0,0,,,1,,
,,1,124005,BANCOS COMERCIALES,activo,D,4,subcuenta,,,1240,0,0,0,,,1,,
,,1,12400501,Bancos comerciales,activo,D,5,auxiliar,,,124005,1,0,0,,,1,,
,,1,124010,COMPAnhIAS DE FINANCIAMIENTO COMERCIAL,activo,D,4,subcuenta,,,1240,0,0,0,,,1,,
,,1,12401001,Companhias de financiamiento comercial,activo,D,5,auxiliar,,,124010,1,0,0,,,1,,
,,1,124015,CORPORACIONES FINANCIERAS,activo,D,4,subcuenta,,,1240,0,0,0,,,1,,
,,1,12401501,Corporaciones financieras,activo,D,5,auxiliar,,,124015,1,0,0,,,1,,
,,1,124095,OTRAS,activo,D,4,subcuenta,,,1240,0,0,0,,,1,,
,,1,12409501,Otras,activo,D,5,auxiliar,,,124095,1,0,0,,,1,,
,,1,1245,DERECHOS FIDUCIARIOS,activo,D,3,cuenta,,,12,0,0,0,,,1,,
,,1,124505,FIDEICOMISOS DE INVERSION MONEDA NACIONAL,activo,D,4,subcuenta,,,1245,0,0,0,,,1,,
,,1,12450501,Fideicomisos de inversion moneda nacional,activo,D,5,auxiliar,,,124505,1,0,0,,,1,,
,,1,124510,FIDEICOMISOS DE INVERSION MONEDA EXTRANJERA,activo,D,4,subcuenta,,,1245,0,0,0,,,1,,
,,1,12451001,Fideicomisos de inversion moneda extranjera,activo,D,5,auxiliar,,,124510,1,0,0,,,1,,
,,1,1250,DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIADAS (REPOS),activo,D,3,cuenta,,,12,0,0,0,,,1,,
,,1,125005,ACCIONES,activo,D,4,subcuenta,,,1250,0,0,0,,,1,,
,,1,12500501,Acciones,activo,D,5,auxiliar,,,125005,1,0,0,,,1,,
,,1,125010,CUOTAS O PARTES DE INTERES SOCIAL,activo,D,4,subcuenta,,,1250,0,0,0,,,1,,
,,1,12501001,Cuotas o partes de interes social,activo,D,5,auxiliar,,,125010,1,0,0,,,1,,
,,1,125015,BONOS,activo,D,4,subcuenta,,,1250,0,0,0,,,1,,
,,1,12501501,Bonos,activo,D,5,auxiliar,,,125015,1,0,0,,,1,,
,,1,125020,CEDULAS,activo,D,4,subcuenta,,,1250,0,0,0,,,1,,
,,1,12502001,Cedulas,activo,D,5,auxiliar,,,125020,1,0,0,,,1,,
,,1,125025,CERTIFICADOS,activo,D,4,subcuenta,,,1250,0,0,0,,,1,,
,,1,12502501,Certificados,activo,D,5,auxiliar,,,125025,1,0,0,,,1,,
,,1,125030,PAPELES COMERCIALES,activo,D,4,subcuenta,,,1250,0,0,0,,,1,,
,,1,12503001,Papeles comerciales,activo,D,5,auxiliar,,,125030,1,0,0,,,1,,
,,1,125035,TITULOS,activo,D,4,subcuenta,,,1250,0,0,0,,,1,,
,,1,12503501,Titulos,activo,D,5,auxiliar,,,125035,1,0,0,,,1,,
,,1,125040,ACEPTACIONES BANCARIAS O FINANCIERAS,activo,D,4,subcuenta,,,1250,0,0,0,,,1,,
,,1,12504001,Aceptaciones bancarias o financieras,activo,D,5,auxiliar,,,125040,1,0,0,,,1,,
,,1,125095,OTROS,activo,D,4,subcuenta,,,1250,0,0,0,,,1,,
,,1,12509501,Otros,activo,D,5,auxiliar,,,125095,1,0,0,,,1,,
,,1,1255,OBLIGATORIAS,activo,D,3,cuenta,,,12,0,0,0,,,1,,
,,1,125505,BONOS DE FINANCIAMIENTO ESPECIAL,activo,D,4,subcuenta,,,1255,0,0,0,,,1,,
,,1,12550501,Bonos de financiamiento especial,activo,D,5,auxiliar,,,125505,1,0,0,,,1,,
,,1,125510,BONOS DE FINANCIAMIENTO PRESUPUESTAL,activo,D,4,subcuenta,,,1255,0,0,0,,,1,,
,,1,12551001,Bonos de financiamiento presupuestal,activo,D,5,auxiliar,,,125510,1,0,0,,,1,,
,,1,125515,BONOS PARA DESARROLLO SOCIAL Y SEGURIDAD INTERNA (BDSI),activo,D,4,subcuenta,,,1255,0,0,0,,,1,,
,,1,12551501,Bonos para desarrollo social y seguridad interna (BDSI),activo,D,5,auxiliar,,,125515,1,0,0,,,1,,
,,1,125595,OTRAS,activo,D,4,subcuenta,,,1255,0,0,0,,,1,,
,,1,12559501,Otras,activo,D,5,auxiliar,,,125595,1,0,0,,,1,,
,,1,1260,CUENTAS EN PARTICIPACION,activo,D,3,cuenta,,,12,0,0,0,,,1,,
,,1,1295,OTRAS INVERSIONES,activo,D,3,cuenta,,,12,0,0,0,,,1,,
,,1,129505,APORTES EN COOPERATIVAS,activo,D,4,subcuenta,,,1295,0,0,0,,,1,,
,,1,12950501,Aportes en cooperativas,activo,D,5,auxiliar,,,129505,1,0,0,,,1,,
,,1,129510,DERECHOS EN CLUBES SOCIALES,activo,D,4,subcuenta,,,1295,0,0,0,,,1,,
,,1,12951001,Derechos en clubes sociales,activo,D,5,auxiliar,,,129510,1,0,0,,,1,,
,,1,129515,ACCIONES O DERECHOS EN CLUBES DEPORTIVOS,activo,D,4,subcuenta,,,1295,0,0,0,,,1,,
,,1,12951501,Acciones o derechos en clubes deportivos,activo,D,5,auxiliar,,,129515,1,0,0,,,1,,
,,1,129520,BONOS EN COLEGIOS,activo,D,4,subcuenta,,,1295,0,0,0,,,1,,
,,1,12952001,Bonos en colegios,activo,D,5,auxiliar,,,129520,1,0,0,,,1,,
,,1,129595,DIVERSAS,activo,D,4,subcuenta,,,1295,0,0,0,,,1,,
,,1,12959501,Diversas,activo,D,5,auxiliar,,,129595,1,0,0,,,1,,
,,1,1299,PROVISIONES,activo,D,3,cuenta,,,12,0,0,0,,,1,,
,,1,129905,ACCIONES,activo,D,4,subcuenta,,,1299,0,0,0,,,1,,
,,1,12990501,Acciones,activo,D,5,auxiliar,,,129905,1,0,0,,,1,,
,,1,129910,CUOTAS O PARTES DE INTERES SOCIAL,activo,D,4,subcuenta,,,1299,0,0,0,,,1,,
,,1,12991001,Cuotas o partes de interes social,activo,D,5,auxiliar,,,129910,1,0,0,,,1,,
,,1,129915,BONOS,activo,D,4,subcuenta,,,1299,0,0,0,,,1,,
,,1,12991501,Bonos,activo,D,5,auxiliar,,,129915,1,0,0,,,1,,
,,1,129920,CEDULAS,activo,D,4,subcuenta,,,1299,0,0,0,,,1,,
,,1,12992001,Cedulas,activo,D,5,auxiliar,,,129920,1,0,0,,,1,,
,,1,129925,CERTIFICADOS,activo,D,4,subcuenta,,,1299,0,0,0,,,1,,
,,1,12992501,Certificados,activo,D,5,auxiliar,,,129925,1,0,0,,,1,,
,,1,129930,PAPELES COMERCIALES,activo,D,4,subcuenta,,,1299,0,0,0,,,1,,
,,1,12993001,Papeles comerciales,activo,D,5,auxiliar,,,129930,1,0,0,,,1,,
,,1,129935,TITULOS,activo,D,4,subcuenta,,,1299,0,0,0,,,1,,
,,1,12993501,Titulos,activo,D,5,auxiliar,,,129935,1,0,0,,,1,,
,,1,129940,ACEPTACIONES BANCARIAS O FINANCIERAS,activo,D,4,subcuenta,,,1299,0,0,0,,,1,,
,,1,12994001,Aceptaciones bancarias o financieras,activo,D,5,auxiliar,,,129940,1,0,0,,,1,,
,,1,129945,DERECHOS FIDUCIARIOS,activo,D,4,subcuenta,,,1299,0,0,0,,,1,,
,,1,12994501,Derechos fiduciarios,activo,D,5,auxiliar,,,129945,1,0,0,,,1,,
,,1,129950,DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIADAS,activo,D,4,subcuenta,,,1299,0,0,0,,,1,,
,,1,12995001,Derechos de recompra de inversiones negociadas,activo,D,5,auxiliar,,,129950,1,0,0,,,1,,
,,1,129955,OBLIGATORIAS,activo,D,4,subcuenta,,,1299,0,0,0,,,1,,
,,1,12995501,Obligatorias,activo,D,5,auxiliar,,,129955,1,0,0,,,1,,
,,1,129960,CUENTAS EN PARTICIPACION,activo,D,4,subcuenta,,,1299,0,0,0,,,1,,
,,1,12996001,Cuentas en participacion,activo,D,5,auxiliar,,,129960,1,0,0,,,1,,
,,1,129995,OTRAS INVERSIONES,activo,D,4,subcuenta,,,1299,0,0,0,,,1,,
,,1,12999501,Otras inversiones,activo,D,5,auxiliar,,,129995,1,0,0,,,1,,
,,1,13,DEUDORES,activo,D,2,grupo,,,1,0,0,0,,,1,,
,,1,1305,CLIENTES,activo,D,3,cuenta,,,13,0,0,0,,,1,,
,,1,130505,NACIONALES,activo,D,4,subcuenta,,,1305,0,0,0,,,1,,
